a,b,n,spread_median,spread_std,robust_sigma,opportunity_share,opportunity_share_oos,adf_stat,adf_p,half_life_is,half_life_oos,theta_is,theta_oos,reversion_yield,p_bh,discovery
LILY_RN,LZ_RAYBN,14903,0.029999999999997584,1.641873449551704,0.22238999999999787,0.03278374233128834,0.026392305971818384,-11.320163956839615,1.1795436729596745e-20,3.2061477683729858,2.662819860422062,0.216193148487256,0.26030569730318903,0.06936361517512134,3.428105421259146e-20,True
DC2SES_ALL,DILEOS_UNIT1,14903,-0.05999999999999872,5.051240044763486,1.3491659999999923,0.13851610429447853,0.20017893088794453,-11.31730108884664,1.1978347458595406e-20,5.175706429687449,5.172812920647985,0.13392320255726,0.1339981149894585,0.2606728218318723,3.475925366819403e-20,True
CONTINEN_RN,LV5_UNIT1,14903,0.030000000000001137,1.1736205773352122,0.13343400000000505,0.011598926380368099,0.0344441959293223,-11.311076501621276,1.2386024182323403e-20,4.120090724378746,3.9270234682172274,0.16823590229665697,0.17650701254266177,0.03238618004464577,3.587644109095927e-20,True
BORDAS_345,RELOJ_ALL,14903,-0.0400000000000027,0.8654024832318561,0.1482600000000021,0.0,0.0,-11.310847850225379,1.2401264520870699e-20,5.750542572344399,8.557129344580162,0.12053596192704316,0.08100230260034162,0.02578191503407287,3.587644109095927e-20,True
ANDMDSLR_ALL,JADE_SLR_ALL,14903,0.040000000000000924,0.6302452300064967,0.23721599999999757,0.0,0.0,-11.309858811581721,1.2467406267112276e-20,7.6658851424269425,8.864193252504698,0.09041971901244816,0.07819630741512626,0.030944371796953033,3.6012721614315157e-20,True
FRONT_EC_CC1,REDFISH_ALL,14903,0.019999999999999574,6.364515753592812,0.6375179999999996,0.17983128834355827,0.24088570789532543,-11.304445356658938,1.2835815606566931e-20,5.507054603668694,8.231655374238454,0.12586531829522518,0.08420507772096464,0.11576387849419495,3.7020370621379014e-20,True
HB_NORTH,LFSTH_RN,14903,-0.0799999999999983,1.6237434587327624,0.3261719999999983,0.03240030674846626,0.05345560277342876,-11.292184901190412,1.3711518114809067e-20,5.567290750792889,6.558228607547855,0.12450349938365045,0.10569121969340978,0.058587204189676126,3.94858329881564e-20,True
PALMWI_UNIT1,TRUENO_ALL,14903,0.0,1.7329991560760414,0.17791200000000146,0.03652223926380368,0.04495638559606352,-11.289392019440603,1.3919324701362223e-20,5.207581454151361,6.648658794602267,0.13310347359183114,0.10425368513762187,0.034164035947661306,4.000328826139457e-20,True
LASSO_GEN,SG_BES_BESS1,14903,-0.010000000000005116,3.1884670912581528,0.8747339999999892,0.10506134969325154,0.01722209796466115,-11.289203154003609,1.3933492052991027e-20,3.3096225734563998,1.7725488077159794,0.2094339052794343,0.39104546940690516,0.2643002277708246,4.000328826139457e-20,True
AUSTPL_ALL,LZ_LCRA,14903,-0.08999999999999986,3.1615005353409367,0.45960599999999807,0.05732361963190184,0.04831133974502348,-11.28714609822882,1.408874734136015e-20,3.2902548513914818,3.688688846069389,0.2106667148494003,0.18791153428366625,0.13968705184208635,4.038774237856577e-20,True
DIBOL_RN,HB_NORTH,14903,0.08000000000000185,1.6458550061179757,0.32617200000000357,0.03307131901840491,0.05591590248266607,-11.284789751366668,1.426874696564123e-20,5.529460488857562,6.508796030182244,0.12535530038720938,0.1064939164394951,0.05898803339987221,4.0841859695905e-20,True
BRAUNIG_VHB1,BRAUNIG_VHB2,14903,0.0,0.09166776437941482,0.0,0.0,0.0,-11.27768722554713,1.4825527561665507e-20,12.531231081648185,inf,0.05531357422456679,-0.0,0.0,4.2371447351466974e-20,True
BCATWD_WD_1,SENATEWD_1,14903,-0.1700000000000017,4.313931813415843,0.5633879999999984,0.07668711656441718,0.1514202639230597,-11.2745832568207,1.5075718136025425e-20,10.750095137187971,8.323858268831463,0.0644782368634237,0.08327234296569204,0.05240772223969085,4.3021506354992616e-20,True
CRANELL_ALL,NUE_NUECESG9,14903,-0.019999999999999574,1.2216341904399481,0.34099800000000063,0.007572852760736196,0.023932006262581077,-11.272790495286833,1.522216545688863e-20,4.23961433510099,3.5290403512469135,0.16349297973194868,0.19641237038138032,0.08043137253706778,4.3308777510426e-20,True
BLACKJAK_RN,NUE_NUECESG9,14903,-0.019999999999999574,1.2216341904399481,0.34099800000000063,0.007572852760736196,0.023932006262581077,-11.272790495286833,1.522216545688863e-20,4.23961433510099,3.5290403512469135,0.16349297973194868,0.19641237038138032,0.08043137253706778,4.3308777510426e-20,True
BORDAS_345,WFTANK_ESS1,14903,0.0,3.2624290918705565,0.45960600000000335,0.11090874233128835,0.11362111384477745,-11.256065851314162,1.665977808107144e-20,5.522377764088563,8.776868632412876,0.12551607480882745,0.07897431414208031,0.08322610651317128,4.73277779720528e-20,True
